,title,category,url,img_url
108,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
109,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
110,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
111,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
112,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
113,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
114,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
115,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
116,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
117,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
118,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
119,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
120,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
121,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
122,"

                        אוזניות  ‏אלחוטיות Sony WH-1000XM4 סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1085019,https://img.zap.co.il/pics/1/8/1/6/57706181c.gif
123,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
124,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
125,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
126,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
127,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
128,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
129,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
130,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
131,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
132,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
133,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
134,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
135,"

                        אוזניות Sony WF-1000XM4 True Wireless סוני
                    
",e-headphone,/ratemodel.aspx?modelid=1118517,https://img.zap.co.il/pics/7/7/2/6/62616277c.gif
136,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
137,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
138,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
139,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
140,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
141,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
142,"

                        אוזניות JBL Tune 225TWS True Wireless
                    
",e-headphone,/ratemodel.aspx?modelid=1096200,https://img.zap.co.il/pics/1/6/1/4/57884161c.gif
143,"

                        אוזניות  ‏אלחוטיות JBL Tune 510BT
                    
",e-headphone,/ratemodel.aspx?modelid=1113020,https://img.zap.co.il/pics/6/5/8/6/61886856c.gif
144,"

                        אוזניות  ‏אלחוטיות JBL Tune 510BT
                    
",e-headphone,/ratemodel.aspx?modelid=1113020,https://img.zap.co.il/pics/6/5/8/6/61886856c.gif
